gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000127528.6,-1.390520735319817,8.275583308972125,-9.247717668620488,2.009922535542079e-14,3.0892509371281753e-10,22.44011135204852,KLF2,10365
ENSG00000165272.16,-1.230189543433653,8.030434983030762,-7.864530061595794,2.0553198006605212e-11,1.5795132668076107e-7,15.736617612039474,AQP3,360
ENSG00000171246.7,-3.4548234905436632,4.033173325408324,-7.568822811710834,3.6918124791588766e-11,1.8914385934890643e-7,12.770202323465416,NPTX1,4884
ENSG00000188322.8,-1.920027401087018,4.378007439560943,-7.164739282050902,2.3831852618814337e-10,9.157389368779409e-7,12.866579343773854,SBK1,388228
ENSG00000221866.10,-4.5031426255170235,3.0428687138914956,-7.087234148519274,1.8846915659951267e-9,5.79354187386902e-6,9.037357600133745,PLXNA4,91584
ENSG00000227507.3,-1.3436095906386143,12.717748878445658,-7.269907177189476,3.486319451037208e-9,8.930788327073648e-6,10.788465352558548,LTB,4050
ENSG00000069493.15,-0.6887454168589429,8.919869140594303,-6.455821135628074,5.91389299980681e-9,1.2869961043638596e-5,10.176874937742932,CLEC2D,29121
ENSG00000168685.15,-0.8111870785341333,8.153243971491307,-6.427879786902754,6.698743549063681e-9,1.2869961043638596e-5,10.074901219440793,IL7R,3575
ENSG00000019582.17,1.0003581593749606,7.550905666896956,6.5348178987433725,7.74667504483188e-9,1.3229599493229554e-5,9.977703978538935,CD74,972
ENSG00000130303.14,0.8433369402610102,6.82272632900334,6.211459870795346,1.7482547476007833e-8,2.687067547062404e-5,9.175190400887747,BST2,684
ENSG00000211751.9,-1.0741498021825002,7.402142503766596,-6.30051869521043,2.014011000648954e-8,2.814122643634038e-5,9.090955135211262,TRBC1,28639
ENSG00000279873.3,-0.878633987467281,7.479929531488236,-6.133142337727896,2.4670793441191126e-8,3.159917459925897e-5,8.848980556616182,LINC01126,100129726
ENSG00000188042.8,-0.7773225615159145,10.396121481737898,-6.122301539960083,3.2424190387264556e-8,3.751197457408639e-5,8.488126793180898,ARL4C,10123
ENSG00000231389.8,1.027994886006443,5.3424270082708905,6.058762399285516,3.416835680137992e-8,3.751197457408639e-5,8.581853272180567,HLA-DPA1,3113
ENSG00000101224.18,-0.7131698929545722,8.644864615891118,-6.015139217743972,4.1332327564270934e-8,4.235185831085629e-5,8.302904331786669,CDC25B,994
ENSG00000115523.17,-1.865415772141004,4.995843154480297,-5.987741864775949,5.8125525306362e-8,5.5836832747423995e-5,7.918204228852342,GNLY,10578
ENSG00000154165.5,-1.4891480891354112,5.277048527014974,-5.870711162414697,7.910455764690557e-8,7.151982653134933e-5,7.7509332540280536,GPR15,2838
ENSG00000179144.5,-0.9120452011437479,8.807836502460495,-5.91632462424213,1.231213668484741e-7,1.0264351964266348e-4,7.301793579053397,GIMAP7,168537
ENSG00000111331.14,1.5924586884137217,3.8822530730706304,5.755625157396907,1.2688528778208238e-7,1.0264351964266348e-4,7.2600958034353145,OAS3,4940
