gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000136161.13,1.8382777300220594,5.329959390887608,14.97081343177545,8.46140468806388e-26,1.3005179005554183e-21,48.262727820577055,RCBTB2,1102
ENSG00000139289.15,1.4754876172472038,6.449961628836341,13.76017080002634,1.505186701745704e-23,1.1567359802915735e-19,43.08701935976826,PHLDA1,22822
ENSG00000176749.9,2.2133400997054253,4.125534423327661,13.383901892483792,7.811891186883431e-23,4.002292251413278e-19,41.461529431102484,CDK5R1,8851
ENSG00000155903.14,-1.9546220492847257,5.962725574687374,-12.47559684474621,4.4501756936849494e-21,1.709980010298442e-17,37.499709460605594,RASA2,5922
ENSG00000172005.11,-1.2580423712955442,7.889903396067579,-11.884355297612748,6.484699076269013e-20,1.9933964960450946e-16,34.745492964938634,MAL,4118
ENSG00000177494.6,2.8722813540110503,2.1592520875138614,11.404798326919343,5.840076123517905e-19,1.4960328336411698e-15,32.39092865187133,ZBED2,79413
ENSG00000144566.11,-1.3756460201931393,6.197081406038978,-11.009543344192549,3.6278005955084365e-18,7.965613593280668e-15,30.866326525025976,RAB5A,5868
ENSG00000138709.20,-1.4880992308676926,5.303091902530725,-10.646801639891779,1.9595284115953553e-17,3.7647439607775767e-14,29.23926601608328,LARP1B,55132
ENSG00000120738.8,2.4210092336211977,6.359910100417389,12.280814804465487,3.7792503545557587e-16,6.454119772169113e-13,26.502467519931294,EGR1,1958
ENSG00000290933.1,4.686428404434105,0.03781709444912748,9.969649232670305,4.665735259715971e-16,7.171235094183448e-13,24.289664361833836,KIR3DX1,90011
ENSG00000115523.17,1.3886068837038543,4.995843154480297,9.950242927131761,1.259196592857607e-15,1.7594410574746746e-12,25.08710705991191,GNLY,10578
ENSG00000120318.16,1.7171579853712426,3.3596339760889347,9.440044274876817,5.642826148662589e-15,7.227519825411999e-12,23.68638484005242,ARAP3,64411
ENSG00000135919.14,1.4535851256179368,4.23517142557282,9.372850147282513,7.745608027840513e-15,9.157691952916053e-12,23.33655414607231,SERPINE2,5270
ENSG00000266088.7,1.3103737819525163,5.7637601672310526,9.87292146434617,9.51345176849024e-15,1.0444410977263928e-11,23.09148043003659,NA,NA
ENSG00000168685.15,-0.8161651896132822,8.153243971491307,-9.241759174612824,1.437112768478518e-14,1.4725615501009884e-11,22.43111534783096,IL7R,3575
ENSG00000139318.8,1.3936694073623555,7.844442598165761,10.53146002450994,2.5884285915618005e-14,2.4865092157690546e-11,22.1502858441349,DUSP6,1848
ENSG00000310481.1,1.4074120401138654,3.453752774456688,9.068182454547381,3.258283319064219e-14,2.945871447883356e-11,21.964860536635122,NA,NA
ENSG00000158050.6,1.6109518759230053,4.758499940607665,9.693523822592796,7.476181880446757e-14,6.383828639025925e-11,21.199657741224065,DUSP2,1844
ENSG00000033867.18,0.8124994026778438,7.00966527995084,8.686979771685035,1.965182706445284e-13,1.5897293788454743e-10,19.866615706337225,SLC4A7,9497
ENSG00000131981.16,-0.9970128231943676,6.954385609187841,-8.652911510425247,2.307239867715866e-13,1.7731138383396433e-10,19.799079848222913,LGALS3,3958
ENSG00000121966.8,-0.8543021028864803,8.579213817154171,-8.517547575144194,5.295726774440316e-13,3.875967643959412e-10,18.85903965172789,CXCR4,7852
ENSG00000181649.9,3.284333662731162,0.8938264040954541,8.44446716765707,6.153809546817823e-13,4.2992751242995426e-10,18.67569007972487,PHLDA2,7262
ENSG00000167851.16,1.6112996031180882,3.1264927609797697,8.39122791318952,7.904046871991061e-13,5.281965235760982e-10,18.857459940371356,CD300A,11314
ENSG00000121807.7,-0.9383013321188551,6.424250876561994,-8.130583277159337,2.6863809787346286e-12,1.7204031517979684e-9,17.40796000958815,CCR2,729230
ENSG00000119669.5,1.0661985918984813,5.627495033791267,8.164376024941648,3.105029149642654e-12,1.9089719212003037e-9,17.302631275805354,IRF2BPL,64207
ENSG00000121741.17,-0.9468463675354393,5.761160465625641,-8.057986604624038,3.774403593167799e-12,2.2312532010380417e-9,17.175132019895834,ZMYM2,7750
ENSG00000165272.16,-0.8833171295227045,8.030434983030762,-8.201383599682877,4.671414433086658e-12,2.6592459198719234e-9,16.757935674217435,AQP3,360
ENSG00000175832.13,4.491312500047263,-1.1253688705188505,7.906143893980438,7.677469701355283e-12,4.2143824753510964e-9,15.112949763623416,ETV4,2118
ENSG00000075618.18,1.796951192467469,3.4017604761664955,7.766091488015352,1.475501789756534e-11,7.82015948570963e-9,16.022255808684438,FSCN1,6624
ENSG00000155093.20,1.6764124425298692,3.353854612947005,7.703811539770209,2.351761712909509e-11,1.2048859175806386e-8,15.56377996744022,PTPRN2,5799
ENSG00000186350.12,2.6016664637513047,1.3701739300591351,7.566020915023383,3.740111255755838e-11,1.8543712903537818e-08,14.992138122985615,RXRA,6256
ENSG00000283125.1,-1.2403719770437758,5.102548053293009,-7.552822125615732,3.976223226455741e-11,1.909829718457023e-8,14.959191022764838,NA,NA
ENSG00000104055.17,4.0368497107401975,-1.232922769902683,7.5337665796696625,4.3434993409717665e-11,2.0230177233556378e-8,13.487717584227738,TGM5,9333
ENSG00000122877.18,2.0723911295841457,1.7955124400180693,7.506842825956507,4.9206456618903204e-11,2.224421288919242e-8,14.80354847062292,EGR2,1959
ENSG00000167618.10,2.9520929109247613,0.4188600678569589,7.413399171914302,7.582160552300757e-11,3.329651648253218e-8,14.019151206911323,LAIR2,3904
