target_file,locus,gene_symbol,entrez_id,mismatch,gene_type,analysis_type,distance
RASA2_CRISPRoff_guide2,chr3:+141487379,RASA2,5922,N/A,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr15:-65422459,IGDCC4,57722,19,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr16:+67199063,ELMO3,79767,19,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr6:+42782516,BICRAL,23506,35,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr17:+19215364,EPN2,22905,36,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr22:-46054120,PRR34,55267,36,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr8:+140635974,ERICD,104355217,40,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr12:+92145576,BTG1-DT,101928617,48,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr19:-8005456,ELAVL1,1994,53,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr2:-241637665,THAP4,51078,65,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr12:+52006816,TAMALIN,160622,67,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr16:-679440,STUB1-DT,105371184,67,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr20:-8019798,TMX4,56255,73,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr16:+9091511,HAPSTR1,29035,79,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr7:-140924194,BRAF,673,86,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr2:+108533948,LIMS1,3987,89,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr8:+144095111,CYC1,1537,93,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr22:+37560227,CDC42EP1,11135,93,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr17:+49575791,NXPH3,11248,97,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr6:+167826807,AFDN,4301,98,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr22:-50201209,LOC124905148,124905148,98,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr21:-36156455,CBR3-AS1,100506428,100,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr3:-49120852,USP19,10869,106,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr2:+48440922,PPP1R21,129285,106,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr9:+137188782,SSNA1,8636,107,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr6:+41546507,FOXP4,116113,108,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr15:+76059910,TMEM266,123591,108,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr11:-67606827,NDUFV1-DT,100505621,115,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr2:+152717615,ARL6IP6,151188,119,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr4:+20252468,SLIT2,9353,120,Promoter,offtarget,NA
RASA2_CRISPRoff_guide2,chr3:+141487379,RASA2,NA,0,proximal_gene,proximal,0
RASA2_CRISPRoff_guide2,chr3:+141487379,ZBTB38,NA,37586,proximal_gene,proximal,37586
